Full Name, Age, Phone number, Street Adress, Code, City, Pet
Kasper Bjerke,69,34 08 09 83,Røedsvei 12,1919,Vest,American Curl
Kristoffer Andersen,45,833 17 641,Søndre Høykollen 94,0605,Nord,Koolie
Emilie Jacobsen,59,+47 41 74 92 08,Evens Gate 99,7216,Sme,Persian
Amalie Kristensen,91,+47 18 53 51 62,Vestre Heggestykket 80,0145,Lille,Pražský Krysařík
Ingrid Østli,19,08268456,Fiolvollen 02,0546,Stor,Dutch Smoushond
Lucas Lie,43,+47 34 57 03 00,Bjørkeroa 03,5335,Lille,Manx
Anders Jørgensen,70,+47 10 26 05 07,Gamle Furustranda 9,0465,Inn,Havana
Kristine Nilsen,16,+47 10 38 53 74,Søndre Sjølyngen 78,8099,Tand,Devon Rex
Maria Evensen,51,87 16 87 22,Marens Vei 78,6734,Nord,Savannah
Prof. Tuva Gundersen,21,654 76 432,Kuvika 38,0169,Nær,Himalayan
Emma Fredriksen V,69,355 83 534,Andreassensvei 3,0160,Lo,Huntaway
Madeleine Vegge II,32,18 99 97 91,Klevenveien 61,7301,Nord,Basset Fauve de Bretagne
Hedda Martinsen IV,73,+47 91 23 63 49,Solberggata 77,1699,Høy,Drentse Patrijshond
Nora Solberg,29,04712504,Granholtet 76,1440,Nord,Selkirk Rex
Madeleine Fjeld III,68,+47 64 23 63 13,Heggelyngen 11,1312,Gjes,Nebelung
Sandra Vedvik,47,51175529,Isaks Vei 8,4274,Stor,Chartreux
Dr. Håkon Fredriksen,50,712 16 090,9552,Mal,Peterbald
Sandra Skuterud,36,97678037,Bjørkefaret 72,0830,Gjes,Carpathian Shepherd Dog
Lars Huseby,51,13 29 81 59,Kvarmesvei 26,0460,Høy,Persian
38,09714161,Svendsensvei 09,6796,Gjes,Norwich Terrier
Maja Aasen,53,713 19 315,Jakobsensvei 63,4556,Sme,Gordon Setter
Jenny Henriksen,78,+47 44 46 94 15,Eliass Gate 25,7652,Stor,Toy Fox Terrier
Magnus Dahl,85,+47 81 74 31 34,Malmstranda 19,7577,Vest,Bruno Jura Hound
Dr. Marte Nygård,50,73 69 25 00,Nygårdsgate 3,0380,Sand,Perro de Presa Canario
Adrian Aalerud,22,52839006,Joakims Gate 25,6955,Stor,Curly-Coated Retriever
Prof. Daniel Skoglund,69,76042246,Gamle Sjøplassen 5,8368,Fet,Hamiltonstövare
Benjamin Nguyen,29,+47 85 16 70 38,Markusgata 79,0355,Sme,Himalayan
Emma Jensen,31,15008746,Andreas Vei 16,6281,Lo,Egyptian Mau
Julie Berg,37,+47 45 62 73 74,Jonasveien 6,0213,Høy,Serengeti
Silje Skoglund,67,36373488,Øvre Kuvollen 3,2044,Nord,Singapura
Kristine Gundersen,87,04319639,Kristiansens Gate 8,9990,Ut,Peruvian Inca Orchid
Kasper Glosli I,41,+47 19 94 48 47,Gamle Damholtet 17,0223,Høy,Wirehaired Pointing Griffon
Prof. Victoria Halvorsen,37,+47 89 51 51 01,Søndre Høyjordet 8,6193,Mal,Minskin
Maria Berg Sr.,46,09 36 12 10,Øvre Kirkegropa 9,6596,Stav,Briquet Griffon Vendéen
Ida Borge,15,01 28 02 09,Vestre Granitttoppen 0,1752,Gjes,Thai
Prof. Kristine Johansen,90,925 71 975,Søndre Malmfaret 4,3507,Nord,Armant
Maja Mathisen,64,973 51 079,Solstranda 6,7384,Lille,Otterhound
Amalie Andersen,61,76866916,Hermansgate 58,6727,Nord,undefined
Kristine Lunde,67,312 63 936,Gloslisgate 9,4545,Lo,Turkish Van
Camilla Jakobsen,94,22 52 50 85,Fiollia 0,0332,Fet,Pumi
Prof. Kristine Andresen II,33,315 01 027,Nordskaugveien 1,3233,Ut,Lhasa Apso
Filip Amundsen,38,66331495,Østre Granitthøgda 34,2514,Sme,Pixiebob
Dr. Ingrid Ruud,54,91009026,Bjørkejordet 8,0411,Stav,Pointer
Jakob Kvarme,33,+47 42 74 94 79,Marisvei 8,0888,Lo,Campeiro Bulldog
Joakim Thoresen,35,+47 08 50 59 78,Vestre Konvallfaret 27,5861,Sand,Burmese
Julie Svendsen,33,51 62 28 24,Nedre Grankroken 5,5131,Nær,Paisley Terrier
Eirik Kristensen,18,747 17 672,Jensensgate 59,7795,Fager,Australian Stumpy Tail Cattle Dog
Dr. Theodor Fredriksen,53,19 04 41 77,Simens Gate 6,3980,Nord,Caucasian Shepherd Dog
Tuva Christiansen,44,+47 51 03 23 72,Øvre Kuhøgda 27,0968,Fet,Bouvier des Ardennes
Oda Henriksen,39,+47 29 10 07 54,Carlsengata 35,0730,Nær,Ragdoll
Markus Lunde,66,344 85 612,Moengata 5,0837,Nord,Balinese
Håkon Amundsen,51,759 68 288,Isakgata 4,7172,Lille,Serengeti
Thomas Aas,75,11 45 42 12,Benjamingata 7,8528,Sme,Devon Rex
Frida Sørensen,30,+47 44 42 64 30,Solhøgda 03,6101,Ut,Burmese
Markus Strand,65,96355377,Østre Heggemoen 5,1126,Inn,Birman
Dr. Hedda Henriksen I,77,+47 37 29 85 62,Solalléen 8,4351,Høy,LaPerm
Dr. Lars Borge,65,289 59 098,Finstads Vei 00,7379,Sme,Kurilian Bobtail
Julie Glosli IV,22,451 14 722,Malmtunet 9,0355,Mal,Korat
Anders Ruud,47,39825747,Marenveien 25,5257,Fet,Cane Corso
Anders Nguyen,83,+47 72 05 48 30,Torgtjernet 2,5222,Høy,Patterdale Terrier
Anna Løken,42,+47 50 87 30 72,Østre Heggegropa 37,0935,Fager,Exotic Shorthair
Marie Aalerud,29,555 03 268,Prestejordet 93,1582,Inn,English Foxhound
Hedda Haugen,89,262 19 754,Østre Granplassen 0,3136,Vest,Sphynx
Mina Solberg I,64,+47 80 41 46 02,Øvre Eikestien 1,6729,Sme,Minskin
Sondre Hansen,27,702 57 131,Skuteruds Gate 2,2820,Høy,West Highland White Terrier
Hanna Ruud II,66,590 14 275,Vestre Korsalléen 88,0991,Vest,Somali
Prof. Thea Fossum,31,+47 63 35 73 80,Theodorveien 48,3029,Nord,Dalmatian
Even Røed II,43,49 73 48 71,Blåveisåsen 1,3399,Vest,Dachshund
Tobias Skoglund Sr.,45,+47 87 40 49 12,Øvre Kirkeplassen 71,0290,Stav,Ojos Azules
Mia Torgersen,82,511 79 719,Klokkertjernet 7,0228,Stav,Afghan Hound
Kaja Olsen,46,10 10 93 69,Lucassvei 03,7840,Sand,Siamese
Sander Fjeld,49,39 17 14 28,Presteberget 75,6995,Lo,Highlander
Magnus Larsen I,25,39 44 44 33,Nedre Elvefaret 96,9775,Inn,Siberian
Lars Lunde,40,39258621,Vestre Korssvingen 25,0533,Lo,Basque Shepherd Dog
Ida Mathisen V,62,45576930,Damhagen 1,0527,Lo,Pungsan Dog
Dr. Oliver Carlsen,90,12440673,Klevengata 26,4447,Lille,Japanese Bobtail
Dr. Celine Nordskaug Sr.,64,186 37 801,Sørliegata 10,8421,Inn,Bombay
Helene Andresen,75,99361004,Vestre Lillegata 94,7421,Fager,Balinese
Dr. Karoline Dahl,24,54 66 45 21,Leahs Vei 53,0777,Lille,American Bobtail
Ole Glosli,32,479 29 593,Torgstykket 10,6204,Mal,undefined
Synne Hansen,60,06613698,Liesgate 2,0944,Stor,Ragdoll
Herman Johansen,93,44 24 29 89,Solringen 6,3939,Stav,Ratonero Mallorquin
Prof. Marie Johnsen,92,+47 11 87 41 71,Søndre Solhaugen 48,7502,Sme,Magyar agár
Tuva Jensen,63,523 26 025,Haukelidsætersvei 97,1166,Gjes,Cornish Rex
Jakob Halvorsen,56,68933881,Sæthers Vei 1,8966,Stor,English Setter
Marie Hansen II,54,535 52 769,Rasmussensgate 8,0575,Lo,undefined
Prof. Leah Myhrer,73,932 07 328,Selmagata 7,0942,Nær,Oriental
Håkon Østby,37,34 80 97 41,Øvre Elvekroken 95,4146,Nær,Oriental
Karoline Rasmussen,39,+47 28 52 08 55,Østre Hestemyrløkka 93,5898,Lille,Persian
Sebastian Olsen,33,28787662,Øvre Fosseskrenten 4,0226,Stav,Turkish Van
Lucas Arnesen,79,67 11 35 08,Solheims Gate 53,1434,Vest,Kurilian Bobtail
Kasper Nguyen,41,+47 41 42 01 62,Kirketunet 46,0108,Ut,LaPerm
Prof. Simen Huseby,68,709 26 182,Østre Høyvika 7,5101,Nær,Jagdterrier
Jakob Thoresen Jr.,20,25 22 29 49,Tobiassvei 85,0126,Fager,Chien Français Tricolore
Adrian Olsen,29,+47 46 12 46 97,Vestre Prestespranget 83,1529,Høy,Old English Sheepdog
Kristian Solli II,82,10 96 96 16,Selmas Vei 0,0891,Fager,Spanish Mastiff
Aurora Moen,79,61 02 36 80,Kirkegropa 9,3195,Nord,Minskin
Andreas Danielsen,69,+47 52 12 75 59,Marigata 4,4504,Ut,Exotic Shorthair
Prof. Silje Finstad,47,90709015,Halvorsenveien 16,7168,Stor,Kuchi
Anna Fossum,90,004 94 948,Elveskogen 7,9444,Ut,Sphynx
Mathilde Johansen,91,254 45 331,Soldugghavna 9,6458,Nord,English Mastiff
Selma Østli,50,33 32 24 02,Lilletoppen 9,6317,Sand,Akita
Dr. Helene Thoresen,76,90 02 14 41,Solduggflata 03,6663,Nord,Chartreux
Henrik Huseby V,19,944 11 542,Benjamins Vei 0,5288,Lille,Thai
Martin Moen,67,98123357,Majasgate 08,7967,Gjes,Romanian Mioritic Shepherd Dog
Lars Jørgensen,65,+47 88 99 24 79,Heddas Gate 81,9829,Gjes,Pixiebob
Tuva Ryan,27,231 35 077,Østre Bergtoppen 91,3434,Fet,Bombay
Oliver Thoresen,59,569 28 232,Jakobveien 55,0771,Sand,Havana
Herman Bjørnstad,17,05 67 66 86,Skoglundsvei 0,9100,Høy,LaPerm
Theodor Fjeld IV,89,44784640,Nielsens Gate 1,5871,Sand,Boerboel
Maria Lunde,93,50 46 43 71,Torglyngen 31,9375,Nord,Segugio Maremmano
Magnus Solheim,94,+47 50 21 77 82,Larss Vei 5,7369,Stav,Curly-Coated Retriever
Dr. Emil Kristensen,57,226 30 406,Østre Konvallkroken 19,7841,Høy,Ariegeois
Victoria Rasmussen,30,+47 91 15 24 84,Malmgropa 1,7194,Lille,Swedish Vallhund
Emma Arnesen,30,80 66 71 61,Heleneveien 8,0709,Gjes,Bull Arab
Anders Gran,20,+47 75 83 35 38,Fiolskogen 64,0387,Ut,Alpine Dachsbracke
Thea Aas,32,106 34 458,Solvika 8,2546,Sme,West Highland White Terrier
Dr. Thea Berg,43,498 90 704,Jørgens Vei 2,7161,Lo,Estrela Mountain Dog
Frida Solheim,93,44 88 10 55,Vestre Geiteryggbråten 12,2955,Nord,Tenterfield Terrier
Markus Strand,50,+47 16 91 45 57,Hermansgate 33,0577,Fager,Pyrenean Mountain Dog
Henrik Carlsen II,90,609 54 240,Aurorasvei 32,3252,Sme,Norwegian Forest Cat
Tobias Smogeli V,56,+47 51 47 06 70,Mathiassgate 04,0531,Nord,Barbet
Martine Karlsen,49,50 66 31 34,Gamle Damgropa 3,7873,Stav,Sokoke
Elise Gran,82,16 50 56 89,Benjaminsvei 52,5656,Fet,Burgos Pointer
Emil Andresen,53,92 79 64 19,Jonathansgate 3,0996,Nær,Russian Blue
Sander Danielsen,54,031 63 682,Finstadsvei 75,0961,Mal,Siberian
Joakim Olsen,39,44673213,Kuflata 5,8096,Stor,Peterbald
Lars Sørlie,44,76 94 16 77,Øvre Granittmarka 68,3747,Høy,Newfoundland
Lars Østby,29,+47 84 61 08 13,Noras Gate 58,6284,Stav,Bulldog
Sander Nordby III,38,+47 97 64 54 75,Østre Fiolkroken 65,6893,Fager,Bull Terrier
Prof. Filip Ryan,28,05 69 79 70,Mathisens Vei 20,2818,Høy,American Shorthair
Malin Pettersen,22,+47 63 32 65 59,Jonathangata 1,0053,Fager,Taigan
Mari Jacobsen,23,+47 77 71 35 26,Emmas Gate 44,4454,Høy,Bombay
Prof. Natalie Røed,67,+47 11 21 33 08,Skuterudgata 6,9818,Fet,Peterbald
Ingrid Carlsen,45,46 34 86 09,Vegges Gate 17,6715,Lille,Dandie Dinmont Terrier
Prof. Kaja Martinsen IV,91,63 68 73 10,Mikkels Vei 51,9829,Lille,Dutch Shepherd
Sandra Wold,83,83911658,Bekkelyngen 88,0353,Inn,Rajapalayam
Andreas Aas,28,496 33 353,Andreasgata 8,0327,Lo,Bengal
Alexander Løken,46,474 50 410,Østre Rognekroken 9,8674,Sand,Miniature Schnauzer
Sindre Nilsen,65,682 39 104,Kirketoppen 5,0446,Sme,Singapura
Aurora Ryan,51,+47 76 35 45 83,Øvre Eikegata 0,5858,Gjes,Dachshund
Sofie Haugen,74,+47 44 51 73 22,Sørliesgate 75,0951,Fager,Bakharwal dog
Isak Jacobsen,18,904 14 727,Søndre Eikekollen 0,0975,Nær,Savannah
Sara Nielsen,63,35 53 91 24,Mariesvei 7,0088,Inn,Pixiebob
Sofie Fossum,71,+47 65 75 08 04,Tangengata 1,0544,Lille,Segugio Maremmano
Herman Aasen,56,+47 13 34 29 06,Nedre Høyhaugen 1,0732,Stav,Sphynx
Tuva Hansen Sr.,43,311 72 610,Østre Bjørkemoen 38,2893,Vest,Canaan Dog
Prof. Malin Johannessen,69,27 52 46 61,Bjørnstadveien 8,0556,Lille,Polish Hound
Dr. Elise Nordskaug,80,11 99 68 02,Andersensgate 9,6022,Fet,Istrian Shorthaired Hound
Markus Larsen,39,144 36 403,Berntsens Vei 7,1194,Nær,Flat-Coated Retriever
Oliver Sørlie,32,571 85 263,Konvallrøa 09,9243,Stav,Kurilian Bobtail
Simen Jørgensen,62,738 17 256,Danielgata 21,0777,Ut,British Shorthair
Kristoffer Sørlie,16,868 82 401,Solheimveien 7,0551,Mal,Minskin
Benjamin Hopland III,33,45721646,Ødegårdsgate 2,2523,Sme,Sokoke
Emilie Evensen,26,45 12 00 33,Bekkeflata 4,2798,Tand,Gordon Setter
Frida Solberg,75,+47 51 56 20 82,Søndre Eikebråten 9,4079,Nær,Minskin
Linnea Eriksen,87,+47 15 29 76 07,Heggeengen 2,4720,Vest,American Shorthair
Benjamin Skuterud,76,31 49 78 36,Stensrudsgate 3,5923,Nord,Gull Dong
Hanna Ruud,90,+47 82 41 30 78,Granittlunden 72,4679,Fager,Yakutian Laika
Oda Danielsen,61,37001146,Andersveien 8,1956,Nord,Swedish Vallhund
Prof. Kristian Østli Sr.,34,77 29 72 64,Klokkertunet 07,0729,Stav,Toy Manchester Terrier
Sander Bakke,41,90 69 51 49,Søndre Furulia 36,8304,Stor,Aidi
Sandra Solberg,92,04 01 47 72,Gundersensvei 96,8572,Mal,LaPerm
Kaja Jensen,92,360 03 422,Kristoffergata 81,8752,Høy,Balinese
Prof. Madeleine Glosli,87,93 58 53 16,Amalies Gate 8,7151,Vest,Snowshoe
Frida Jørgensen,59,30 69 61 53,Tingmarka 9,5812,Sme,Karelian Bear Dog
Mari Røed,50,013 33 002,Siljegata 6,2549,Nord,Jonangi
Victoria Lie,25,+47 71 92 77 21,Bekkehavna 4,8708,Lille,Norfolk Terrier
Elise Moen,57,+47 63 42 91 11,Litjhagen 06,0431,Nær,Bombay
Dr. Kasper Berg,92,20572386,Minasvei 77,0066,Høy,Russian Spaniel
Dr. Filip Bakken IV,19,847 71 801,Kroghsvei 1,2786,Inn,Chartreux
Henrik Arnesen,27,65 27 97 53,Jakobveien 24,1843,Mal,Savannah
Emilie Jakobsen,45,71882245,Sjøroa 18,3395,Høy,Bengal
Isak Jakobsen I,36,32064387,Magnusgata 58,9696,Fager,Scottish Fold
Tuva Andersen Sr.,21,55 18 31 13,Mathisensgate 7,7691,Vest,Plott Hound
Prof. Amalie Sørlie,48,100 81 739,Øvre Tingringen 24,8106,Inn,Munchkin
Lars Ødegård,44,+47 79 06 30 28,Østre Kirketjernet 7,3951,Nord,Nebelung
Daniel Røed III,28,12388906,Torgstykket 79,3270,Sand,Pixiebob
Nora Dahl,78,58623722,Bekketunet 2,8068,Lo,Sloughi
Simen Tangen,91,+47 84 26 96 51,Andreassvei 2,9660,Fet,Border Terrier
Celine Gundersen,56,54817211,Amaliesgate 7,0179,Nær,Munchkin
Theodor Lie,68,16 30 43 33,Simengata 4,0295,Inn,Redbone Coonhound
64,24 36 55 94,Gamle Granittholtet 9,1299,Sand,Oriental
Kristine Kleven,78,+47 34 56 98 64,0418,Nord,Field Spaniel
Theodor Vedvik,34,067 84 527,Vestre Solskrenten 42,7231,Stor,Taiwan Dog
Tobias Olsen,24,74910260,Dahls Gate 3,3612,Gjes,Australian Shepherd
Tiril Haugen,86,+47 37 75 22 22,Vestre Blåveisgjerdet 58,0995,Vest,Airedale Terrier
Camilla Andersen,88,49 38 10 86,Benjamins Vei 74,2675,Sme,Donskoy
Adrian Johansen,91,+47 03 62 04 27,Nygårdgata 9,9799,Stav,Snowshoe
Henrik Fossum,63,87001327,Bruskogen 39,0884,Sme,Thai Ridgeback
Malin Aas I,28,17428209,Lillerøa 7,0462,Stor,Havana
Prof. Silje Fossum,57,+47 44 36 01 29,Jakobs Gate 87,3012,Mal,Egyptian Mau
Elias Jensen,95,93509287,Evensensvei 9,0874,Stav,Kaikadi
Tuva Eide,21,74 44 55 32,Eikevika 3,7378,Vest,Kurilian Bobtail
Mats Nordskaug V,88,20 14 23 03,Gamle Soltunet 91,7337,Ut,Siberian
Mia Nordskaug,34,261 50 775,Elines Gate 4,0129,Lille,Thai
Prof. Kaja Tangen,51,+47 23 19 10 78,Siljegata 6,0910,Tand,Persian
William Larsen,56,02 37 83 89,Marengata 8,3229,Gjes,Kai Ken
Jakob Bakken,74,65 89 74 68,Lundesgate 7,0859,Stor,East Siberian Laika
Prof. Jonas Danielsen,37,21079509,Bjørkeeggen 6,2169,Mal,Balinese
William Rasmussen,35,82348486,Markusgata 6,6019,Nord,Miniature Schnauzer
Thea Ryan,72,30574745,Vasshøgda 6,4000,Stor,Toyger
Ole Gundersen,81,+47 46 68 29 54,Sæthersgate 59,0916,Ut,Balinese
Dr. Hanna Stensrud,22,600 49 787,Gundersenveien 56,8245,Høy,undefined
William Nordskaug,64,55 71 16 44,Borgegata 57,8791,Fager,Affenpinscher
Fredrik Dahl,75,82 26 59 96,Østre Vassrøa 8,0466,Fet,Chartreux
Jenny Kristoffersen,71,93 72 52 47,Østre Lillevika 47,0561,Sand,Irish Wolfhound
Mikkel Pedersen,34,+47 86 09 98 01,Karlsens Gate 2,6540,Vest,Toyger
Noah Vegge,25,453 92 661,Moeveien 7,0508,Tand,Highlander
Sandra Nordby,26,+47 92 30 59 85,Nedre Malmmoen 44,2643,Vest,Small Münsterländer
Lucas Hagen,69,+47 61 10 11 47,Nielsens Vei 8,0189,Sme,Schipperke
Emma Nygård,83,38688764,Tobiassgate 02,3027,Sme,Small Münsterländer
Marte Vegge V,76,55884477,Kirkeåsen 33,2564,Fet,Himalayan
Tiril Edvardsen,72,24 12 55 88,Hagens Vei 8,0221,Sand,Sphynx
Benjamin Bakke III,74,48907644,Søndre Presteringen 7,2414,Nær,Hygen Hound
Prof. Joakim Rasmussen,71,+47 91 91 53 04,Eikestubben 9,6084,Mal,Alapaha Blue Blood Bulldog
66,398 57 530,Vestre Solringen 96,0864,Fager,Japanese Bobtail
Ida Johnsen,60,16 60 79 49,Kajas Vei 37,0126,Mal,Chartreux
Sondre Berg,20,23 60 41 45,Øvre Heggehagen 9,4834,Fet,Kurilian Bobtail
Prof. Maren Smedsrud,63,73 82 93 67,Sondres Gate 48,1096,Stav,Chien Français Tricolore
Daniel Johansen,89,673 27 715,Solbergsgate 78,0155,Lo,LaPerm
Karoline Sørensen Sr.,20,07448511,Nygårdveien 0,9567,Ut,Kuvasz
Silje Danielsen,36,82 10 49 66,Gamle Klokkerhøgda 77,0105,Fet,Sphynx
Tiril Ruud,56,851 43 390,Bakkensgate 6,9825,Gjes,Pixiebob
Nora Henriksen,53,+47 89 24 13 29,Søndre Vassvika 33,0245,Nord,Nebelung
Dr. Madeleine Nielsen,94,+47 39 35 87 29,9275,Sme,Russian Blue
Herman Jørgensen,79,8kw60gpwz,Øvre Rognelia 2,4915,Gjes,Tyrolean Hound
Håkon Nygård,89,60 12 80 28,Østre Elvestubben 7,5943,Sand,Birman
Kristian Pedersen,95,65431425,Løkens Gate 2,0834,Nær,Somali
Thea Glosli,77,95448385,Ingridsgate 9,0587,Sme,Exotic Shorthair
Oliver Bakken,82,01030366,Eikeskogen 4,2002,Inn,LaPerm
Mikkel Røed II,64,68 19 15 67,Kristianveien 09,0447,Lille,Norwegian Lundehund
Emma Nguyen,57,04569168,Fiolkroken 63,0458,Sand,Bernese Mountain Dog
Prof. Hedda Nordby,16,29 78 59 66,Øvre Eikestubben 14,0557,Lille,Weimaraner
Marte Skoglund,33,90 15 55 82,Gamle Klokkerstien 5,9730,Mal,Exotic Shorthair
Dr. Tuva Karlsen,79,08 82 41 63,Fiolmarka 3,7412,Nær,Picardy Spaniel
Markus Finstad I,85,+47 60 08 16 43,Solduggmarka 6,5489,Stor,Small Münsterländer
Ole Karlsen V,78,72 19 01 89,Sørliesvei 2,9123,Mal,Swedish Lapphund
Prof. Alexander Gran,87,67 54 97 15,Søndre Fiolvollen 79,1554,Tand,West Highland White Terrier
Kristian Ruud,68,08 34 64 95,Dambakken 63,0010,Ut,Devon Rex
Sondre Jensen,19,02157754,Evensenveien 58,0672,Lille,Persian
Sara Pettersen,64,019 25 630,Berntsensgate 05,2639,Gjes,Burmese
Ingrid Krogh,34,67278894,Gamle Solmoen 0,2827,Vest,Aidi
Johannes Bjerke,16,19954549,Sindreveien 84,8204,Lo,Chartreux
Andrea Løken,91,655 98 440,Søndre Fiolhagen 5,4658,Nord,Beagle-Harrier
Julie Andreassen,22,+47 80 26 34 66,Nedre Bekkebråten 87,1425,Nær,Stabyhoun
Tobias Bakken,71,55 79 81 62,Ødegårdsvei 6,7641,Sme,Balinese
Filip Stensrud,53,+47 15 08 63 63,Olivers Gate 5,2139,Nord,Chartreux
Markus Krogh Sr.,73,808 90 349,Bekkestykket 31,0651,Sand,American Wirehair
Fredrik Jakobsen,91,206 91 725,Emilveien 0,0265,Nær,Kishu
Silje Huseby,21,609 41 064,Hestemyrekra 15,1233,Nord,American Shorthair
Elias Andersen,80,677 23 552,Borgegata 1,8886,Stav,Bluetick Coonhound
Elise Krogh,77,61411402,Konvallberget 91,8400,Fager,Tyrolean Hound
Dr. Mikkel Huseby,87,122 69 864,Geiteryggmyra 1,0693,Vest,American Foxhound
Mathias Lie,67,27854251,Østre Eikevollen 63,3791,Gjes,Bullmastiff
Helene Olsen IV,42,66042278,Eriksenveien 77,0617,Fager,Afghan Hound
Maren Moe,69,644 31 823,Nedre Fosseplassen 75,3155,Høy,Russian Blue
Natalie Bjerke,42,86 15 84 40,Leahsgate 94,0329,Nord,Abyssinian
Simen Bakken,87,31 74 82 01,Nedre Granittløkka 46,0279,Vest,Bengal
Andrea Aasen,81,77 58 55 85,Vassstykket 74,4606,Tand,Thai
Maja Sørensen,24,84291511,0410,Nord,Lhasa Apso
Isak Kvarme,82,750 48 628,Hestemyrløkka 83,8966,Vest,Toyger
Tobias Evensen V,37,418 55 530,Malmgropa 3,4699,Nord,West Highland White Terrier
Marie Solli,16,181 93 599,Martes Gate 46,6145,Nord,Serengeti
Martine Aasen,18,+47 28 25 52 39,Fioltunet 2,5179,Lille,undefined
Sandra Torp,95,548 19 646,Natalieveien 6,9954,Stav,Snowshoe
29,678 80 352,Øvre Konvallekra 55,0041,Stor,Norwegian Buhund
Sander Nygård V,24,40 35 60 24,Evens Gate 6,0618,Fet,Himalayan
Silje Bjørnstad,26,+47 65 69 68 48,Bergåsen 81,3383,Høy,Japanese Bobtail
Adrian Ruud,71,+47 78 20 18 23,Høymoen 4,6282,Gjes,undefined
Elise Jacobsen,55,664 49 527,Malinveien 7,5545,Fager,Minskin
Frida Jensen,81,41838782,Østre Sjølia 4,9313,Fager,Himalayan
Prof. Celine Østli,25,+47 60 25 09 86,Gamle Vassgjerdet 0,1851,Inn,Havana
Prof. Elias Løken,81,+47 22 47 14 92,Gamle Heggetoppen 7,2499,Ut,East Siberian Laika
Nora Holm,84,26591254,Konvallkollen 50,1505,Nær,LaPerm
Dr. Emma Amundsen,26,+47 15 87 85 97,Majas Vei 05,0355,Sme,Anglo-Français de Petite Vénerie
Tuva Kleven,90,+47 48 37 06 58,Thoresenveien 2,7414,Nord,Pudelpointer
Aurora Johannessen,32,59862372,Søndre Granittholtet 57,6296,Nær,Siberian
Aurora Glosli,29,604 52 395,Malmlia 78,1490,Sand,Bergamasco Shepherd
Victoria Kristoffersen,76,+47 80 42 88 24,Gamle Fiolalléen 0,0537,Nær,Toyger
